technique,case_id,state,runtime_avg,runtime_cnf
marking-7,SJ,{'edge10'},0.0, 0.0
marking-9,SJ,{'edge10'},0.0, 0.0
marking-3,SJA,{'edge6'},0.0, 0.0
marking-5,SJA,{'edge6'},0.0, 0.0
marking-7,SJA,{'edge6'},0.0, 0.0
marking-9,SJA,{'edge6'},0.0, 0.0
marking-3,SK,{'edge6'},0.0, 0.0
marking-5,SK,{'edge6'},0.0, 0.0
marking-7,SK,{'edge6'},0.0, 0.0
marking-9,SK,{'edge6'},0.0, 0.0
marking-3,SKA,{'edge4'},0.0, 0.0
marking-5,SKA,{'edge4'},0.0, 0.0
marking-7,SKA,{'edge4'},0.0, 0.0
marking-9,SKA,{'edge4'},0.0, 0.0
marking-3,SL,{'edge40'},0.0, 0.0
marking-5,SL,{'edge40'},0.0, 0.0
marking-7,SL,{'edge40'},0.0, 0.0
marking-9,SL,{'edge40'},0.0, 0.0
marking-3,SLA,{'edge6'},0.0, 0.0
marking-5,SLA,{'edge6'},0.0, 0.0
marking-7,SLA,{'edge6'},0.0, 0.0
marking-9,SLA,{'edge6'},0.0, 0.0
marking-3,SM,{'edge10'},0.0, 0.0
marking-5,SM,{'edge10'},0.0, 0.0
marking-7,SM,{'edge10'},0.0, 0.0
marking-9,SM,{'edge10'},0.0, 0.0
marking-3,SMA,{'edge10'},0.0, 0.0
marking-5,SMA,{'edge10'},0.0, 0.0
marking-7,SMA,{'edge10'},0.0, 0.0
marking-9,SMA,{'edge10'},0.0, 0.0
marking-3,SN,{'edge10'},0.0, 0.0
marking-5,SN,{'edge10'},0.0, 0.0
marking-7,SN,{'edge10'},0.0, 0.0
marking-9,SN,{'edge10'},0.0, 0.0
marking-3,SO,{'edge4'},0.0, 0.0
marking-5,SO,{'edge4'},0.0, 0.0
marking-7,SO,{'edge4'},0.0, 0.0
marking-9,SO,{'edge4'},0.0, 0.0
marking-3,SP,{'edge4'},0.0, 0.0
marking-5,SP,{'edge4'},0.0, 0.0
marking-7,SP,{'edge4'},0.0, 0.0
marking-9,SP,{'edge4'},0.0, 0.0
marking-3,SQ,{'edge30'},0.0, 0.0
marking-5,SQ,{'edge30'},0.0, 0.0
marking-7,SQ,{'edge30'},0.0, 0.0
marking-9,SQ,{'edge30'},0.0, 0.0
marking-3,SR,{'edge41'},0.0, 0.0
marking-5,SR,{'edge41'},0.00032146771748860675, 0.0013831639521615423
marking-7,SR,{'edge41'},0.0, 0.0
marking-9,SR,{'edge41'},0.0, 0.0
marking-3,SS,{'edge6'},0.0, 0.0
marking-5,SS,{'edge6'},0.0, 0.0
marking-7,SS,{'edge6'},0.0, 0.0
marking-9,SS,{'edge6'},0.0, 0.0
marking-3,ST,{'edge40'},0.0, 0.0
marking-5,ST,{'edge40'},0.0, 0.0
marking-7,ST,{'edge40'},0.0, 0.0
marking-9,ST,{'edge40'},0.0, 0.0
marking-3,SU,{'edge6'},0.0, 0.0
marking-5,SU,{'edge6'},0.0, 0.0
marking-7,SU,{'edge6'},0.0, 0.0
marking-9,SU,{'edge6'},0.0, 0.0
marking-3,SV,{'edge10'},0.0, 0.0
marking-5,SV,{'edge10'},0.0, 0.0
marking-7,SV,{'edge10'},0.0, 0.0
marking-9,SV,{'edge10'},0.0, 0.0
marking-3,SW,{'edge41'},0.0, 0.0
marking-5,SW,{'edge41'},0.0, 0.0
marking-7,SW,{'edge41'},0.0, 0.0
marking-9,SW,{'edge41'},0.0, 0.0
marking-3,SX,{'edge41'},0.0, 0.0
marking-5,SX,{'edge41'},0.0, 0.0
marking-7,SX,{'edge41'},0.0, 0.0
marking-9,SX,{'edge41'},0.0, 0.0
marking-3,SY,{'edge6'},0.0, 0.0
marking-5,SY,{'edge6'},0.0, 0.0
marking-7,SY,{'edge6'},0.0, 0.0
marking-9,SY,{'edge6'},0.0, 0.0
marking-3,SZ,{'edge0'},0.0, 0.0
marking-5,SZ,{'edge0'},0.0, 0.0
marking-7,SZ,{'edge0'},0.0, 0.0
marking-9,SZ,{'edge0'},0.0, 0.0
marking-3,T,{'edge10'},0.0, 0.0
marking-5,T,{'edge10'},0.0, 0.0
marking-7,T,{'edge10'},0.0, 0.0
marking-9,T,{'edge10'},0.0, 0.0
marking-3,TA,{'edge40'},0.0, 0.0
marking-5,TA,{'edge40'},0.0, 0.0
marking-7,TA,{'edge40'},0.0, 0.0
marking-9,TA,{'edge40'},0.0, 0.0
marking-3,TAA,{'edge2'},0.0, 0.0
marking-5,TAA,{'edge2'},0.0, 0.0
marking-7,TAA,{'edge2'},0.0, 0.0
marking-9,TAA,{'edge2'},0.0, 0.0
marking-3,TB,{'edge10'},0.0, 0.0
marking-5,TB,{'edge10'},0.0, 0.0
marking-7,TB,{'edge10'},0.0, 0.0
marking-9,TB,{'edge10'},0.0, 0.0
marking-3,TBA,{'edge10'},0.0, 0.0
marking-5,TBA,{'edge10'},0.0, 0.0
marking-7,TBA,{'edge10'},0.0, 0.0
marking-9,TBA,{'edge10'},0.0, 0.0
marking-3,TC,{'edge10'},0.0, 0.0
marking-5,TC,{'edge10'},0.0, 0.0
marking-7,TC,{'edge10'},0.0, 0.0
marking-9,TC,{'edge10'},0.0, 0.0
marking-3,TCA,{'edge6'},0.0, 0.0
marking-5,TCA,{'edge6'},0.0, 0.0
marking-7,TCA,{'edge6'},0.0, 0.0
marking-9,TCA,{'edge6'},0.0, 0.0
marking-3,TD,{'edge7'},0.0, 0.0
marking-5,TD,{'edge7'},0.0, 0.0
marking-7,TD,{'edge7'},0.0, 0.0
marking-9,TD,{'edge7'},0.0, 0.0
marking-3,TDA,{'edge10'},0.0, 0.0
marking-5,TDA,{'edge10'},0.0, 0.0
marking-7,TDA,{'edge10'},0.0, 0.0
marking-9,TDA,{'edge10'},0.0, 0.0
marking-3,TE,{'edge4'},0.0, 0.0
marking-5,TE,{'edge4'},0.0, 0.0
marking-7,TE,{'edge4'},0.0, 0.0
marking-9,TE,{'edge4'},0.0, 0.0
marking-3,TEA,{'edge40'},0.0, 0.0
marking-5,TEA,{'edge40'},0.0, 0.0
marking-7,TEA,{'edge40'},0.0, 0.0
marking-9,TEA,{'edge40'},0.0, 0.0
marking-3,TF,{'edge10'},0.0, 0.0
marking-5,TF,{'edge10'},0.0, 0.0
marking-7,TF,{'edge10'},0.0, 0.0
marking-9,TF,{'edge10'},0.0, 0.0
marking-3,TFA,{'edge10'},0.0, 0.0
marking-5,TFA,{'edge10'},0.0, 0.0
marking-7,TFA,{'edge10'},0.0, 0.0
marking-9,TFA,{'edge10'},0.0, 0.0
marking-3,TG,{'edge41'},0.0, 0.0
marking-5,TG,{'edge41'},0.0, 0.0
marking-7,TG,{'edge41'},0.0, 0.0
marking-9,TG,{'edge41'},0.0, 0.0
marking-3,TGA,{'edge10'},0.0, 0.0
marking-5,TGA,{'edge10'},0.0, 0.0
marking-7,TGA,{'edge10'},0.0, 0.0
